YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2018-09,WEEKDAY,11,TRAIN,DT13,7805,13232
2018-09,WEEKENDS/HOLIDAY,11,TRAIN,DT13,4444,6913
2018-09,WEEKENDS/HOLIDAY,20,TRAIN,DT27,2077,4265
2018-09,WEEKDAY,20,TRAIN,DT27,7092,7934
2018-09,WEEKENDS/HOLIDAY,20,TRAIN,SW3,509,1346
2018-09,WEEKDAY,20,TRAIN,SW3,775,3280
2018-09,WEEKENDS/HOLIDAY,14,TRAIN,EW16,3125,3416
2018-09,WEEKDAY,14,TRAIN,EW16,6729,8701
2018-09,WEEKENDS/HOLIDAY,14,TRAIN,NE3,9077,6227
2018-09,WEEKDAY,14,TRAIN,NE3,19340,23421
2018-09,WEEKENDS/HOLIDAY,19,TRAIN,EW26,12141,17863
2018-09,WEEKDAY,19,TRAIN,EW26,27996,76584
2018-09,WEEKDAY,6,TRAIN,BP3,12954,898
2018-09,WEEKENDS/HOLIDAY,6,TRAIN,BP3,955,161
2018-09,WEEKENDS/HOLIDAY,13,TRAIN,EW12,29067,45202
2018-09,WEEKENDS/HOLIDAY,13,TRAIN,DT14,11773,16261
2018-09,WEEKDAY,13,TRAIN,EW12,54657,55175
2018-09,WEEKDAY,13,TRAIN,DT14,29052,22534
2018-09,WEEKDAY,8,TRAIN,CG2,16078,40967
2018-09,WEEKENDS/HOLIDAY,8,TRAIN,CG2,8672,10464
2018-09,WEEKDAY,10,TRAIN,BP1,30390,20120
2018-09,WEEKENDS/HOLIDAY,10,TRAIN,BP1,19783,13472
2018-09,WEEKENDS/HOLIDAY,10,TRAIN,NS4,1838,2150
2018-09,WEEKDAY,10,TRAIN,NS4,2805,3181
2018-09,WEEKENDS/HOLIDAY,22,TRAIN,NS5,5387,17506
2018-09,WEEKDAY,22,TRAIN,NS5,9960,36223
2018-09,WEEKDAY,22,TRAIN,SE3,548,4947
2018-09,WEEKENDS/HOLIDAY,22,TRAIN,SE3,280,2263
2018-09,WEEKDAY,20,TRAIN,NE13,16617,32319
2018-09,WEEKENDS/HOLIDAY,20,TRAIN,NE13,8159,12531
2018-09,WEEKENDS/HOLIDAY,19,TRAIN,CC15,16174,20676
2018-09,WEEKDAY,19,TRAIN,NS17,19592,33348
2018-09,WEEKDAY,19,TRAIN,CC15,41734,86832
2018-09,WEEKENDS/HOLIDAY,19,TRAIN,NS17,7108,6341
2018-09,WEEKDAY,23,TRAIN,CC17,276,1645
2018-09,WEEKENDS/HOLIDAY,23,TRAIN,CC17,142,739
2018-09,WEEKDAY,10,TRAIN,DT18,5790,25288
2018-09,WEEKENDS/HOLIDAY,10,TRAIN,DT18,1435,3564
2018-09,WEEKDAY,19,TRAIN,EW23,64229,92966
2018-09,WEEKENDS/HOLIDAY,19,TRAIN,EW23,22267,26204
2018-09,WEEKDAY,14,TRAIN,EW15,37258,40691
